comment,sentiment_scores,sentiment,subjectivity,word_count
"the fine tuning gpt4o is the winner this week
oh, actually,maybe it has to compete with heygen's interactive avatars

Regarding the videos, how about someone create an AI program to fix the issues in the generated content.
post production AI - like audio cleanup, but video cleanup.
it would add some frames where needed, and remove some existing ones, without outcome being a seamless video that actually works.
Tell them to make that part of their video editor they are working on (fix the video first, then edit)","{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.6249}",Positive,0.2583333333333333,89
"Hi, I have a business-related question; how can I contact you?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,11
Tbh i dont consider the inference of local LLM's that slow and im on a 1070 ti. Its still MUCH faster then when talking to humans online,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.19999999999999998,28
"Thanks Igor for a very understandable discussion on fine-tuning. I've been studying into this topic on and off for a while now, and you explained it better than anyone. Now that I see what it is, I'm a bit disappointed. I expect an LLM to be good enough to access my clean, preprocessed Knowledge Base files and use its ""intelligence"" to answer user questions SO I DON'T HAVE TO CREATE A GLORIFIED FAQ. Fine-tuning, in my opinion, is kind of like owning a Ferrari but instead of driving it around town, we're pushing it around town.","{'neg': 0.039, 'neu': 0.837, 'pos': 0.124, 'compound': 0.7263}",Positive,0.6055555555555556,100
The loop feature is indeed very cool.  When I come up for air I will have to check it out.  😅,"{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.3804}",Positive,0.8450000000000001,21
"Introduction and Overview of AI News - 00:00:00
Llama 3.1 and Hugging Face Chat Interface - 00:00:30
ChatGPT-4 Mini Fine-Tuning Tutorial - 00:02:20
Understanding Fine-Tuning and its Benefits - 00:02:48
Practical Example of Fine-Tuning with JSON - 00:03:45
Using OpenAI's Interface for Fine-Tuning - 00:05:34
Llama 8B Fine-Tuning Possibilities - 00:07:26
SearchGPT Waitlist and Details - 00:07:50
Mistral Large 2 Model Release and Analysis - 00:08:45
Differences Between Open Source and Mistral License - 00:10:10
Benchmarks and Initial Impressions of Mistral - 00:11:06
Interactive Avatars from Haen Labs - 00:12:27
Suno's New AI Music Feature: Stems - 00:13:44
AI Video Generation Updates - 00:14:38
Kling AI Model Accessibility and Performance - 00:15:13
Comparison of Various AI Video Generators - 00:17:18
Luma Labs Update: Key Framing and Loops - 00:18:45
Demonstration of Luma Labs' New Features - 00:19:06
Photoshop and Illustrator AI Updates - 00:22:02
Bringing AI Innovations to Everyday Life - 00:22:53
Conclusion and Final Thoughts - 00:24:15","{'neg': 0.0, 'neu': 0.938, 'pos': 0.062, 'compound': 0.7717}",Positive,0.5486291486291486,139
"Such a great video - well done Igor and team, commenting for the algorithm and joining the channel...","{'neg': 0.0, 'neu': 0.693, 'pos': 0.307, 'compound': 0.7351}",Positive,0.625,17
"Open Interpreter + Llama 3.1 + n8n + Gorilla AI = 100% autonomous agent that automates all workflows, all open source and free, access to over 1600 API's.","{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.5106}",Positive,0.625,25
"for the 'rythm
👍","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,4
"OMG I need to get that fold phone! Was it Motorola??? Wanted one BEFORE they the ai was added to it, now I may have to hop ship from apple 😱💀 then again idk if adding only ai image rendering could make having one single device outside of the apple ecosystem worth the huge communication issue it would create, probably not…
Anyone found ways to merge ai into Siri on iPhones yet? lol

I'm back on break and just got a bit further into this video but guess hey artist one more back to finish this, brutal short breaks","{'neg': 0.088, 'neu': 0.851, 'pos': 0.062, 'compound': -0.7727}",Negative,0.4386904761904762,100
"At the moment, you have to be API Tier 4 in order to fine-tune gpt-4o mini. Hopefully they'll roll it out to folks that haven't spent $250 on API yet.","{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.4019}",Positive,0.1,32
"I can't access the llama, I live in Denmark but I can't access it. It's annoying. 😡😡😡","{'neg': 0.215, 'neu': 0.785, 'pos': 0.0, 'compound': -0.5499}",Negative,0.7,20
"I don't know why, but I find these videos relaxing","{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.6486}",Positive,0.0,11
"Love the video and oh a new llama and Igor photo! 😂😂
I have a question (and possibly a tutorial idea) :
I have a 2018 MacBook Pro that can no longer support Apple’s updates so I’m still running Ventura and I’m not able to download the app for GPT 4o is there a safe-ish way to do this myself? 
Also would love Suno power user best practices. Also how do you take suno output (whether stems, compete result from a promt etc) and if needed convey the format for use on mobile (such as to create a custom ringtone and custom alert/notification tones) how we can apply these tones to Alexa or google home (if that's possible?) I HATE those sleeves tones with a burning passion! theyre a guaranteed way to instantly turn me into a bitch soon as I woke up if that's what I wake up from lol on the flip side; it has seemed to subconsciously train my body into a morning person who wakes up before the alarm goes off 😂 yes I hate them that much","{'neg': 0.085, 'neu': 0.776, 'pos': 0.139, 'compound': 0.8837}",Positive,0.6425865800865801,189
,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,0
"Good video, bro!

I have a question. If I have to create a GPT that is an expert and really good at knowing/answering all the Gold rules, what is the best way? Is it fine-tuning the model or is there another way?","{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.9193}",Positive,0.5000000000000001,42
"Honestly
Really he's talking too fast","{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}",Positive,0.4,7
Fist to like and comment,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.3612}",Positive,0.0,5
